id,name,description,display_order,parent_id
"1","Smart Cameras","IP cameras, Dome cameras, PTZ cameras, Doorbell cameras","1",""
"2","Smart Lighting","Smart bulbs, LED strips, Light switches, Dimmer switches","2",""
"3","Smart Security","Smart locks, Door sensors, Window sensors, Motion detectors","3",""
"4","Climate Control","Smart thermostats, Air quality monitors, Humidity sensors","4",""
"5","Home Entertainment","Smart speakers, Sound bars, Streaming devices","5",""
"6","Networking","Routers, Mesh systems, WiFi extenders, Network switches","6",""
"7","Smart Sensors","Temperature sensors, Water leak sensors, Gas sensors","7",""
"8","Smart Plugs & Switches","Smart plugs, Smart switches, Power strips","8",""
"9","Robotics","Robot vacuums, Robot mops, Pool cleaners","9",""
"10","Smart Appliances","Smart refrigerators, Smart washing machines, Smart ovens","10",""
"11","Smart Curtains & Blinds","Motorized curtains, Smart blinds, Sun sensors","11",""
"12","Smart Doorbells","Video doorbells, Intercom systems, Gate controllers","12",""
"13","Smart Hubs & Controllers","Central hubs, IR blasters, Universal remotes","13",""
"14","Cables & Connectors","HDMI cables, USB cables, Network cables, Adapters","14",""
"15","Accessories","Mounts, Stands, Cases, Batteries, Chargers","15",""
