id,sku,name,category_id,uom_id,list_price,cost_price
"1","SKU001","Luxurious Marble Chair","8","1","1000.16","769.35"
"2","SKU002","Rustic Silk Bacon","9","1","451.87","347.59"
"3","SKU003","Intelligent Marble Soap","2","1","439.52","338.09"
"4","SKU004","Tasty Metal Sausages","15","1","52.46","40.35"
"5","SKU005","Intelligent Plastic Computer","2","1","27.55","21.19"
"6","SKU006","Modern Silk Salad","6","1","1221.67","939.75"
"7","SKU007","Sleek Cotton Pants","12","1","536.32","412.55"
"8","SKU008","Ergonomic Concrete Soap","10","1","249.80","192.15"
"9","SKU009","Frozen Gold Mouse","12","1","1175.65","904.35"
"10","SKU010","Small Bronze Keyboard","3","1","28.54","21.95"
"11","SKU011","Intelligent Gold Chicken","4","1","1277.32","982.55"
"12","SKU012","Gorgeous Concrete Bike","1","1","180.43","138.79"
"13","SKU013","Soft Silk Cheese","5","1","1009.44","776.49"
"14","SKU014","Ergonomic Concrete Mouse","14","1","382.79","294.45"
"15","SKU015","Handmade Gold Shirt","16","1","402.42","309.55"
"16","SKU016","Electronic Rubber Table","15","1","726.64","558.95"
"17","SKU017","Practical Metal Pizza","3","1","551.84","424.49"
"18","SKU018","Elegant Gold Pants","16","1","788.31","606.39"
"19","SKU019","Generic Plastic Bacon","9","1","1248.13","960.10"
"20","SKU020","Rustic Marble Pizza","11","1","1085.69","835.15"
"21","SKU021","Refined Steel Bacon","19","1","219.69","168.99"
"22","SKU022","Fresh Bronze Table","20","1","315.97","243.05"
"23","SKU023","Unbranded Cotton Keyboard","14","1","880.69","677.45"
"24","SKU024","Refined Bronze Table","20","1","800.27","615.59"
"25","SKU025","Recycled Granite Gloves","19","1","1108.76","852.89"
"26","SKU026","Intelligent Rubber Gloves","3","1","96.19","73.99"
"27","SKU027","Modern Bronze Sausages","3","1","1231.48","947.29"
"28","SKU028","Practical Silk Tuna","10","1","1283.22","987.09"
"29","SKU029","Electronic Ceramic Keyboard","15","1","307.44","236.49"
"30","SKU030","Bespoke Marble Table","17","1","365.63","281.25"
"31","SKU031","Oriental Marble Chips","20","1","1042.72","802.09"
"32","SKU032","Licensed Ceramic Pizza","3","1","972.89","748.38"
"33","SKU033","Bespoke Silk Table","17","1","530.91","408.39"
"34","SKU034","Rustic Wooden Hat","4","1","898.81","691.39"
"35","SKU035","Sleek Metal Gloves","8","1","259.79","199.84"
"36","SKU036","Handmade Bronze Computer","14","1","146.76","112.89"
"37","SKU037","Sleek Wooden Chips","6","1","1152.48","886.52"
"38","SKU038","Recycled Bronze Sausages","9","1","761.40","585.69"
"39","SKU039","Handcrafted Bronze Bacon","18","1","873.72","672.09"
"40","SKU040","Intelligent Aluminum Car","16","1","525.33","404.10"
"41","SKU041","Generic Wooden Gloves","7","1","619.91","476.85"
"42","SKU042","Electronic Plastic Computer","9","1","646.29","497.15"
"43","SKU043","Intelligent Rubber Bike","8","1","1192.67","917.44"
"44","SKU044","Modern Gold Towels","7","1","963.68","741.29"
"45","SKU045","Soft Cotton Hat","10","1","1018.02","783.09"
"46","SKU046","Gorgeous Wooden Keyboard","18","1","367.44","282.65"
"47","SKU047","Awesome Steel Chips","18","1","257.26","197.89"
"48","SKU048","Soft Steel Chips","5","1","475.53","365.79"
"49","SKU049","Sleek Steel Sausages","12","1","1049.94","807.65"
"50","SKU050","Ergonomic Silk Towels","15","1","854.95","657.65"
"51","SKU051","Soft Silk Shirt","20","1","333.57","256.59"
"52","SKU052","Practical Aluminum Car","14","1","1142.40","878.77"
"53","SKU053","Awesome Ceramic Gloves","4","1","73.91","56.85"
"54","SKU054","Incredible Silk Fish","17","1","520.26","400.20"
"55","SKU055","Bespoke Plastic Sausages","10","1","311.47","239.59"
"56","SKU056","Ergonomic Steel Keyboard","6","1","614.97","473.05"
"57","SKU057","Incredible Steel Pants","9","1","1026.45","789.58"
"58","SKU058","Modern Concrete Shirt","10","1","1181.82","909.09"
"59","SKU059","Incredible Concrete Shirt","4","1","701.99","539.99"
"60","SKU060","Oriental Plastic Table","5","1","1277.37","982.59"
"61","SKU061","Elegant Ceramic Hat","15","1","922.86","709.89"
"62","SKU062","Soft Rubber Computer","18","1","1106.88","851.45"
"63","SKU063","Small Bamboo Ball","7","1","616.84","474.49"
"64","SKU064","Oriental Gold Chair","6","1","977.60","752.00"
"65","SKU065","Generic Rubber Gloves","20","1","475.01","365.39"
"66","SKU066","Gorgeous Aluminum Bacon","14","1","697.18","536.29"
"67","SKU067","Oriental Ceramic Keyboard","3","1","444.31","341.78"
"68","SKU068","Fantastic Plastic Hat","5","1","75.59","58.15"
"69","SKU069","Ergonomic Concrete Mouse","4","1","114.20","87.85"
"70","SKU070","Frozen Concrete Cheese","14","1","199.41","153.39"
"71","SKU071","Modern Ceramic Computer","20","1","1167.86","898.35"
"72","SKU072","Unbranded Aluminum Soap","4","1","317.27","244.05"
"73","SKU073","Refined Plastic Computer","18","1","1132.50","871.15"
"74","SKU074","Gorgeous Bamboo Shirt","2","1","721.31","554.85"
"75","SKU075","Luxurious Bronze Bacon","3","1","836.42","643.40"
"76","SKU076","Handcrafted Gold Mouse","16","1","15.98","12.29"
"77","SKU077","Soft Plastic Chicken","11","1","802.88","617.60"
"78","SKU078","Handcrafted Ceramic Fish","15","1","1141.79","878.30"
"79","SKU079","Electronic Wooden Shirt","3","1","741.77","570.59"
"80","SKU080","Incredible Marble Bike","18","1","1112.40","855.69"
"81","SKU081","Bespoke Aluminum Fish","3","1","460.79","354.45"
"82","SKU082","Awesome Gold Hat","15","1","424.38","326.45"
"83","SKU083","Recycled Silk Ball","18","1","670.35","515.65"
"84","SKU084","Gorgeous Rubber Chips","16","1","828.09","636.99"
"85","SKU085","Rustic Wooden Computer","9","1","1036.48","797.29"
"86","SKU086","Gorgeous Bamboo Bike","5","1","685.74","527.49"
"87","SKU087","Handcrafted Bronze Computer","20","1","1221.21","939.39"
"88","SKU088","Licensed Wooden Gloves","12","1","1141.91","878.39"
"89","SKU089","Tasty Silk Fish","9","1","1217.31","936.39"
"90","SKU090","Oriental Wooden Computer","20","1","1176.05","904.65"
"91","SKU091","Frozen Plastic Pants","12","1","419.71","322.85"
"92","SKU092","Small Ceramic Computer","20","1","536.06","412.35"
"93","SKU093","Frozen Granite Sausages","9","1","226.00","173.85"
"94","SKU094","Bespoke Concrete Cheese","3","1","793.12","610.09"
"95","SKU095","Bespoke Cotton Table","17","1","971.09","746.99"
"96","SKU096","Bespoke Rubber Shirt","18","1","609.56","468.89"
"97","SKU097","Licensed Cotton Ball","3","1","576.02","443.09"
"98","SKU098","Fantastic Bamboo Hat","5","1","581.75","447.50"
"99","SKU099","Rustic Aluminum Sausages","13","1","1151.01","885.39"
"100","SKU100","Handcrafted Wooden Hat","16","1","1031.29","793.30"
"101","SKU101","Small Steel Towels","7","1","1151.97","886.13"
"102","SKU102","Licensed Ceramic Soap","4","1","340.69","262.07"
"103","SKU103","Frozen Steel Sausages","17","1","515.31","396.39"
"104","SKU104","Rustic Silk Hat","15","1","508.50","391.15"
"105","SKU105","Refined Concrete Towels","10","1","27.37","21.05"
"106","SKU106","Generic Rubber Bike","12","1","233.60","179.69"
"107","SKU107","Small Cotton Pants","12","1","1090.51","838.85"
"108","SKU108","Refined Bronze Shoes","7","1","1147.64","882.80"
"109","SKU109","Tasty Granite Pants","13","1","254.27","195.59"
"110","SKU110","Unbranded Steel Table","12","1","382.53","294.25"
"111","SKU111","Recycled Bamboo Soap","19","1","327.76","252.12"
"112","SKU112","Modern Rubber Shirt","8","1","485.15","373.19"
"113","SKU113","Handmade Bronze Gloves","10","1","81.31","62.55"
"114","SKU114","Luxurious Wooden Shirt","3","1","953.28","733.29"
"115","SKU115","Incredible Bronze Tuna","9","1","533.98","410.75"
"116","SKU116","Refined Marble Sausages","6","1","1295.51","996.55"
"117","SKU117","Handcrafted Metal Towels","17","1","455.05","350.04"
"118","SKU118","Small Plastic Pizza","2","1","23.26","17.89"
"119","SKU119","Awesome Cotton Towels","18","1","972.79","748.30"
"120","SKU120","Elegant Silk Soap","7","1","1215.05","934.65"
"121","SKU121","Rustic Ceramic Bike","8","1","344.88","265.29"
"122","SKU122","Tasty Ceramic Soap","20","1","1276.59","981.99"
"123","SKU123","Frozen Ceramic Chicken","3","1","468.98","360.75"
"124","SKU124","Recycled Ceramic Ball","2","1","1066.99","820.76"
"125","SKU125","Intelligent Cotton Salad","4","1","870.68","669.75"
"126","SKU126","Handmade Bronze Cheese","5","1","1113.97","856.90"
"127","SKU127","Incredible Steel Chair","1","1","147.15","113.19"
"128","SKU128","Sleek Marble Gloves","3","1","253.83","195.25"
"129","SKU129","Practical Silk Cheese","15","1","1159.01","891.55"
"130","SKU130","Frozen Steel Fish","3","1","504.40","388.00"
"131","SKU131","Unbranded Ceramic Towels","16","1","958.09","736.99"
"132","SKU132","Bespoke Rubber Salad","13","1","1151.01","885.39"
"133","SKU133","Unbranded Bamboo Pizza","9","1","1133.20","871.69"
"134","SKU134","Practical Plastic Fish","20","1","258.17","198.59"
"135","SKU135","Fantastic Concrete Pizza","5","1","936.64","720.49"
"136","SKU136","Sleek Steel Shoes","2","1","285.25","219.42"
"137","SKU137","Small Wooden Shoes","12","1","905.64","696.65"
"138","SKU138","Recycled Rubber Soap","19","1","1122.67","863.59"
"139","SKU139","Recycled Ceramic Bacon","2","1","418.02","321.55"
"140","SKU140","Handcrafted Concrete Computer","10","1","453.95","349.19"
"141","SKU141","Soft Cotton Towels","5","1","404.52","311.17"
"142","SKU142","Handcrafted Wooden Shirt","16","1","769.85","592.19"
"143","SKU143","Handcrafted Concrete Towels","13","1","196.68","151.29"
"144","SKU144","Handcrafted Silk Table","6","1","284.30","218.69"
"145","SKU145","Electronic Granite Bacon","8","1","312.99","240.76"
"146","SKU146","Handmade Gold Chips","12","1","250.63","192.79"
"147","SKU147","Fresh Granite Shoes","2","1","377.19","290.15"
"148","SKU148","Intelligent Granite Table","17","1","1174.28","903.29"
"149","SKU149","Fresh Metal Hat","4","1","201.05","154.65"
"150","SKU150","Fantastic Steel Computer","19","1","1136.26","874.05"
"151","SKU151","Licensed Concrete Salad","13","1","226.84","174.49"
"152","SKU152","Tasty Aluminum Chips","18","1","380.76","292.89"
"153","SKU153","Handmade Silk Mouse","2","1","768.68","591.29"
"154","SKU154","Elegant Concrete Gloves","20","1","282.61","217.39"
"155","SKU155","Ergonomic Aluminum Tuna","9","1","930.61","715.85"
"156","SKU156","Elegant Plastic Gloves","19","1","555.87","427.59"
"157","SKU157","Fresh Ceramic Shirt","9","1","846.50","651.15"
"158","SKU158","Frozen Metal Computer","20","1","495.42","381.09"
"159","SKU159","Recycled Plastic Ball","8","1","632.71","486.70"
"160","SKU160","Small Bronze Shirt","20","1","653.97","503.05"
"161","SKU161","Rustic Aluminum Bacon","20","1","1233.05","948.50"
"162","SKU162","Electronic Wooden Bacon","20","1","1100.66","846.66"
"163","SKU163","Small Plastic Mouse","10","1","604.96","465.35"
"164","SKU164","Refined Ceramic Sausages","20","1","353.93","272.25"
"165","SKU165","Frozen Ceramic Cheese","3","1","653.37","502.59"
"166","SKU166","Fantastic Granite Fish","5","1","883.21","679.39"
"167","SKU167","Awesome Concrete Chicken","4","1","654.80","503.69"
"168","SKU168","Sleek Bamboo Computer","4","1","611.33","470.25"
"169","SKU169","Modern Bronze Shirt","19","1","621.08","477.75"
"170","SKU170","Licensed Gold Pants","2","1","383.10","294.69"
"171","SKU171","Modern Bronze Bike","1","1","1150.81","885.24"
"172","SKU172","Awesome Aluminum Sausages","17","1","712.01","547.70"
"173","SKU173","Electronic Silk Towels","7","1","313.88","241.45"
"174","SKU174","Incredible Steel Chicken","8","1","386.40","297.23"
"175","SKU175","Licensed Concrete Shoes","3","1","277.02","213.09"
"176","SKU176","Electronic Concrete Computer","13","1","713.69","548.99"
"177","SKU177","Incredible Bronze Cheese","6","1","30.80","23.69"
"178","SKU178","Oriental Marble Shoes","9","1","269.76","207.51"
"179","SKU179","Electronic Rubber Soap","7","1","1219.39","937.99"
"180","SKU180","Handcrafted Steel Hat","8","1","571.54","439.65"
"181","SKU181","Handcrafted Gold Soap","7","1","649.99","499.99"
"182","SKU182","Frozen Steel Keyboard","1","1","488.27","375.59"
"183","SKU183","Modern Silk Computer","6","1","444.41","341.85"
"184","SKU184","Oriental Cotton Shirt","20","1","1288.03","990.79"
"185","SKU185","Handmade Metal Cheese","17","1","847.46","651.89"
"186","SKU186","Fantastic Bamboo Shoes","9","1","207.86","159.89"
"187","SKU187","Rustic Aluminum Gloves","4","1","1200.23","923.25"
"188","SKU188","Elegant Aluminum Keyboard","5","1","674.56","518.89"
"189","SKU189","Rustic Bamboo Table","15","1","102.41","78.78"
"190","SKU190","Incredible Steel Hat","15","1","590.19","453.99"
"191","SKU191","Licensed Metal Shoes","17","1","807.16","620.89"
"192","SKU192","Bespoke Plastic Keyboard","17","1","840.44","646.49"
"193","SKU193","Electronic Bamboo Keyboard","15","1","362.17","278.59"
"194","SKU194","Ergonomic Plastic Tuna","6","1","961.29","739.45"
"195","SKU195","Modern Metal Bacon","19","1","787.01","605.39"
"196","SKU196","Ergonomic Cotton Fish","15","1","1169.52","899.63"
"197","SKU197","Fantastic Ceramic Towels","17","1","635.04","488.49"
"198","SKU198","Refined Marble Fish","16","1","1114.09","856.99"
"199","SKU199","Unbranded Metal Bike","14","1","948.16","729.35"
"200","SKU200","Gorgeous Wooden Chips","14","1","98.80","76.00"
"201","SKU201","Electronic Cotton Hat","15","1","82.28","63.29"
"202","SKU202","Bespoke Silk Keyboard","10","1","714.94","549.95"
"203","SKU203","Modern Steel Bike","13","1","439.65","338.19"
"204","SKU204","Handmade Metal Shoes","10","1","120.97","93.05"
"205","SKU205","Licensed Plastic Chips","1","1","141.70","109.00"
"206","SKU206","Intelligent Concrete Ball","16","1","744.50","572.69"
"207","SKU207","Tasty Bamboo Chair","3","1","589.25","453.27"
"208","SKU208","Electronic Bronze Bike","11","1","291.40","224.15"
"209","SKU209","Small Concrete Gloves","8","1","1256.31","966.39"
"210","SKU210","Intelligent Gold Pizza","2","1","20.09","15.45"
"211","SKU211","Tasty Metal Sausages","15","1","306.53","235.79"
"212","SKU212","Tasty Marble Chips","18","1","311.42","239.55"
"213","SKU213","Practical Aluminum Tuna","3","1","23.40","18.00"
"214","SKU214","Handmade Bamboo Fish","6","1","817.04","628.49"
"215","SKU215","Luxurious Cotton Chicken","6","1","462.79","355.99"
"216","SKU216","Sleek Silk Fish","16","1","1202.96","925.35"
"217","SKU217","Recycled Concrete Ball","2","1","319.79","245.99"
"218","SKU218","Fantastic Granite Gloves","20","1","466.04","358.49"
"219","SKU219","Recycled Marble Chicken","13","1","1237.33","951.79"
"220","SKU220","Elegant Concrete Hat","7","1","745.15","573.19"
"221","SKU221","Modern Concrete Table","14","1","515.96","396.89"
"222","SKU222","Licensed Wooden Soap","4","1","213.84","164.49"
"223","SKU223","Sleek Wooden Car","19","1","804.79","619.07"
