id,name,supplier_type_id,contact_person_name,contact_person_email,contact_person_phone,company_address,payment_terms,average_lead_time_days,status
"1","Baumbach and Sons","2","John Baumbach","john.baumbach@baumbach.com","0911234561","123 Industrial Park, District 7, HCMC","NET30","7","active"
"2","Johnson - Boehm","4","Mary Johnson","mary.johnson@johnsonboehm.com","0911234562","456 Commerce St, District 1, Hanoi","NET30","5","active"
"3","Schuppe, Treutel and Reichert","3","Hans Schuppe","hans@schuppe-treutel.com","0911234563","789 Logistics Ave, District 2, HCMC","NET30","3","active"
"4","O'Reilly, Koch and Leffler","5","Patrick O'Reilly","patrick@oreilly-koch.com","0911234564","321 Service Blvd, District 3, Hanoi","NET30","2","active"
"5","Kuhn, Lynch and Ullrich","4","Michael Kuhn","michael@kuhn-lynch.com","0911234565","654 Maintenance Rd, District 5, HCMC","NET30","4","active"
"6","Paucek Inc","5","Anna Paucek","anna@paucek-inc.com","0911234566","987 Tech Park, District 1, Hanoi","NET30","3","active"
"7","Balistreri, Bartoletti and Lebsack","3","Marco Balistreri","marco@balistreri-logistics.com","0911234567","147 Warehouse District, Bien Hoa","NET30","2","active"
"8","Bogusich Inc","5","David Bogusich","david@bogusich-service.com","0911234568","258 Service Center, District 2, HCMC","NET30","5","active"
"9","Johnston Group","5","Sarah Johnston","sarah@johnston-group.com","0911234569","369 Corporate Park, District 1, Hanoi","NET30","4","active"
"10","Ernser - McClure","5","Robert Ernser","robert@ernser-mcclure.com","0911234570","741 Business Ave, District 3, HCMC","NET30","3","active"
"11","O'Connell Group","4","James O'Connell","james@oconnell-group.com","0911234571","852 Service Center, District 1, Hanoi","NET30","5","active"
"12","Gutmann - Conroy","3","Lisa Gutmann","lisa@gutmann-conroy.com","0911234572","963 Logistics Hub, District 2, HCMC","NET30","2","active"
"13","Hansen, Haley and Steuber","1","Tom Hansen","tom@hansen-haley.com","0911234573","147 Equipment St, District 3, Hanoi","NET30","7","active"
"14","Marvin, Tromp and Klein","3","David Marvin","david@marvin-tromp.com","0911234574","258 Shipping Lane, District 7, HCMC","NET30","3","active"
"15","Cruickshank and Sons","2","Chris Cruickshank","chris@cruickshank-sons.com","0911234575","369 Parts Ave, District 1, Hanoi","NET30","6","active"
"16","Cronin, Schumm and Watsica","5","Mike Cronin","mike@cronin-schumm.com","0911234576","741 Repair Center, District 2, HCMC","NET30","4","active"
"17","Powlowski - Koelpin-Watsica","1","Steve Powlowski","steve@powlowski-koelpin.com","0911234577","852 Industrial St, District 3, Hanoi","NET30","8","active"
"18","Blick, Hettinger and Turner","4","Karen Blick","karen@blick-hettinger.com","0911234578","963 Maintenance Blvd, District 7, HCMC","NET30","5","active"
"19","Leannon, Walker and Schimmel","1","Bob Leannon","bob@leannon-walker.com","0911234579","147 Equipment Rd, District 1, Hanoi","NET30","7","active"
"20","Trantow Group","1","Paul Trantow","paul@trantow-group.com","0911234580","258 Parts St, District 2, HCMC","NET30","6","active"
"21","Jones - Larkin","1","Amy Jones","amy@jones-larkin.com","0911234581","369 Hardware Ave, District 3, Hanoi","NET30","8","active"
"22","Murphy - Kautzer","2","Tim Murphy","tim@murphy-kautzer.com","0911234582","741 Components Blvd, District 7, HCMC","NET30","5","active"
"23","Torp-Bahringer Group","1","Mark Torp","mark@torp-bahringer.com","0911234583","852 Electronics St, District 1, Hanoi","NET30","7","active"
"24","Champlin LLC","5","Linda Champlin","linda@champlin-llc.com","0911234584","963 Service Center, District 2, HCMC","NET30","4","active"
"25","Klocko, Okuneva and Torp","3","Sam Klocko","sam@klocko-okuneva.com","0911234585","147 Logistics Rd, District 3, Hanoi","NET30","3","active"
"26","Will - Grady","2","Tom Will","tom@will-grady.com","0911234586","258 Supply Ave, District 7, HCMC","NET30","6","active"
"27","Weissnat - Price","4","Jim Weissnat","jim@weissnat-price.com","0911234587","369 Repair St, District 1, Hanoi","NET30","5","active"
"28","Stehr and Sons","1","Bill Stehr","bill@stehr-sons.com","0911234588","741 Equipment Blvd, District 2, HCMC","NET30","8","active"
"29","Johnson - Huel","2","Lisa Johnson","lisa@johnson-huel.com","0911234589","852 Parts Rd, District 3, Hanoi","NET30","6","active"
"30","Lehner LLC","4","Kevin Lehner","kevin@lehner-llc.com","0911234590","963 Maintenance Ave, District 7, HCMC","NET30","5","active"
