id,sku,name,description,category_id,uom_id,image_url,list_price,cost_price,reorder_level,reorder_quantity,supplier_lead_time_days,status,barcode,created_at,updated_at,is_deleted
1,SKU-00001,Premium Thermostat 417O,High-quality Thermostat for SmartHome applications.,1,5,,3325.17,2808.92,37,179,8,active,444885644895,2024-06-15 04:10:18,2024-10-08 04:28:02,false
2,SKU-00002,Mini Speaker 538I,High-quality Speaker for SmartHome applications.,2,6,,3642.63,2899.38,22,172,26,active,368751390028,2026-01-09 07:37:57,2026-01-20 19:37:02,false
3,SKU-00003,Eco Doorbell 244S,High-quality Doorbell for SmartHome applications.,3,4,,1020.56,310.72,17,181,23,active,613017237816,2024-09-27 16:49:32,2025-07-22 20:10:52,false
4,SKU-00004,Eco Hub 221J,High-quality Hub for SmartHome applications.,4,4,,4844.71,2109.46,43,178,17,active,166943970313,2024-07-21 09:10:14,2024-11-06 14:06:58,false
5,SKU-00005,Elite Plug 470X,High-quality Plug for SmartHome applications.,5,5,,595.91,479.03,46,179,10,active,586217462083,2025-07-08 12:03:37,2024-03-27 03:48:06,false
6,SKU-00006,Basic Plug 325R,High-quality Plug for SmartHome applications.,6,6,,4285.49,769.34,24,162,16,discontinued,413838935239,2026-04-01 01:12:14,2024-05-21 08:52:27,false
7,SKU-00007,Pro Doorbell 210S,High-quality Doorbell for SmartHome applications.,7,6,,869.82,611.54,44,102,26,active,517702840401,2024-08-05 23:55:43,2024-08-12 05:12:41,false
8,SKU-00008,Basic Doorbell 621T,High-quality Doorbell for SmartHome applications.,8,1,,1055.81,906.18,27,143,10,active,441511777644,2024-08-20 19:15:25,2026-03-14 20:07:19,false
9,SKU-00009,Advanced Hub 271D,High-quality Hub for SmartHome applications.,9,2,,994.87,732.34,18,41,28,discontinued,332127949861,2026-02-03 10:19:24,2025-03-26 17:19:08,false
10,SKU-00010,Elite Thermostat 708U,High-quality Thermostat for SmartHome applications.,10,2,,1357.56,1033.52,24,22,27,active,841465158041,2025-06-04 00:09:54,2025-01-26 07:39:57,false
11,SKU-00011,Mini Sensor 454A,High-quality Sensor for SmartHome applications.,11,1,,617.4,351.05,13,200,16,active,949019098562,2026-01-20 20:25:00,2024-10-07 17:10:39,false
12,SKU-00012,Smart Bulb 698N,High-quality Bulb for SmartHome applications.,12,1,,1802.95,1013.09,29,103,24,active,283732922538,2024-05-01 06:50:06,2025-06-05 15:40:28,false
13,SKU-00013,Elite Speaker 571E,High-quality Speaker for SmartHome applications.,13,2,,4321.91,1612.47,39,80,27,discontinued,210461427847,2024-09-09 11:24:59,2024-05-16 14:50:43,false
14,SKU-00014,Smart Strip 994V,High-quality Strip for SmartHome applications.,14,3,,4566.8,462.79,44,97,21,active,536921943304,2025-05-26 22:12:28,2024-04-26 13:36:04,false
15,SKU-00015,Advanced Meter 779I,High-quality Meter for SmartHome applications.,15,6,,3515.49,2168.03,35,26,21,discontinued,185175199759,2025-03-29 11:27:35,2024-05-28 14:45:29,false
16,SKU-00016,Plus Doorbell 705I,High-quality Doorbell for SmartHome applications.,16,3,,1096,760.37,11,24,9,discontinued,369754866878,2025-05-22 05:05:58,2024-09-08 14:17:50,false
17,SKU-00017,Plus Lock 554V,High-quality Lock for SmartHome applications.,17,2,,738.41,513.04,38,105,10,active,984314363344,2024-03-26 04:34:39,2026-02-08 06:14:08,false
18,SKU-00018,Basic Plug 614R,High-quality Plug for SmartHome applications.,18,3,,1038.93,561.38,40,96,25,active,629359887206,2025-07-05 12:48:32,2024-07-25 10:54:15,false
19,SKU-00019,Eco Speaker 520R,High-quality Speaker for SmartHome applications.,19,5,,2969.49,468.42,20,128,26,active,253885183839,2025-10-30 13:10:08,2024-07-07 06:16:37,false
20,SKU-00020,Pro Thermostat 638C,High-quality Thermostat for SmartHome applications.,20,1,,1384.62,936.31,25,190,23,active,487173181397,2025-01-21 04:47:37,2025-12-01 14:16:51,false
21,SKU-00021,Eco Bulb 823U,High-quality Bulb for SmartHome applications.,1,6,,3252.15,1106.48,35,119,28,active,203253283506,2024-09-23 20:14:04,2026-02-22 07:38:33,false
22,SKU-00022,Basic Thermostat 507K,High-quality Thermostat for SmartHome applications.,2,1,,675.24,532.02,30,151,14,active,177422969549,2026-01-20 15:01:35,2024-01-17 22:09:31,false
23,SKU-00023,Eco TV 826I,High-quality TV for SmartHome applications.,3,2,,3197.85,2757.19,47,188,21,active,327320735926,2024-09-05 02:18:11,2025-08-14 03:38:07,false
24,SKU-00024,Pro Strip 851M,High-quality Strip for SmartHome applications.,4,1,,1802.01,466.59,6,180,30,discontinued,280715981818,2025-09-15 05:08:38,2024-04-22 12:06:42,false
25,SKU-00025,Ultra Speaker 215E,High-quality Speaker for SmartHome applications.,5,4,,1915.02,692.02,12,110,15,active,656937367667,2025-12-17 08:13:18,2025-05-11 04:25:53,false
26,SKU-00026,Pro Switch 473P,High-quality Switch for SmartHome applications.,6,3,,2699.74,1868.09,49,149,14,active,596483150655,2024-08-30 07:33:06,2025-10-04 02:00:32,false
27,SKU-00027,Smart Bulb 572A,High-quality Bulb for SmartHome applications.,7,6,,1327.3,818.66,45,166,19,active,714056676973,2024-06-28 23:20:09,2024-02-01 05:35:30,false
28,SKU-00028,Elite Lock 752H,High-quality Lock for SmartHome applications.,8,3,,1123.48,807.98,48,79,11,active,597229304840,2025-08-30 22:19:00,2025-10-06 16:38:13,false
29,SKU-00029,Eco Thermostat 260V,High-quality Thermostat for SmartHome applications.,9,6,,2564.09,1074.29,47,114,22,active,477298690180,2026-04-24 21:32:09,2025-01-01 13:23:12,false
30,SKU-00030,Plus Router 754B,High-quality Router for SmartHome applications.,10,4,,568.06,311.31,41,49,13,discontinued,266285864907,2024-01-18 20:34:29,2024-07-07 07:01:17,false
31,SKU-00031,Premium Thermostat 256E,High-quality Thermostat for SmartHome applications.,11,3,,3866.97,1293.26,12,38,20,active,993727588654,2024-04-11 06:11:46,2025-12-09 15:57:47,false
32,SKU-00032,Pro Thermostat 468R,High-quality Thermostat for SmartHome applications.,12,6,,4673.5,624.62,40,147,7,discontinued,405657536498,2025-03-15 18:34:32,2024-07-03 02:31:35,false
33,SKU-00033,Pro Plug 918Q,High-quality Plug for SmartHome applications.,13,5,,1190.45,644.47,13,107,26,active,593031903114,2026-04-02 16:22:13,2025-09-06 04:03:17,false
34,SKU-00034,Smart Hub 602L,High-quality Hub for SmartHome applications.,14,4,,4615.07,2733.55,33,151,17,active,909991912457,2024-09-28 05:53:16,2026-01-23 22:35:09,false
35,SKU-00035,Advanced Router 795M,High-quality Router for SmartHome applications.,15,3,,2005.26,986.98,46,180,29,discontinued,270013865896,2025-01-21 20:40:24,2025-01-07 04:30:50,false
36,SKU-00036,Basic Camera 331X,High-quality Camera for SmartHome applications.,16,1,,2829.62,1900.77,8,125,26,active,583657021369,2025-09-28 09:51:50,2024-05-01 22:55:00,false
37,SKU-00037,Mini Doorbell 766G,High-quality Doorbell for SmartHome applications.,17,4,,4388.97,679.17,29,76,17,discontinued,912155978771,2024-07-07 22:59:47,2025-05-15 16:28:36,false
38,SKU-00038,Pro Lock 259Z,High-quality Lock for SmartHome applications.,18,4,,1750.01,916.45,44,133,12,discontinued,756026845112,2024-10-29 04:41:38,2024-10-08 13:08:18,false
