id,warehouse_id,bin_code,description,capacity_units,current_occupancy_units,status
"1","2","A2-3-4","Electronics storage rack - Row A, Shelf 2","100","45","active"
"2","3","B5-5-5","Robotics section - Row B, Shelf 5","50","20","active"
"3","3","B10-4-2","Smart home devices - Row B, Shelf 10","75","30","active"
"4","3","C8-1-5","Cables and accessories - Row C, Shelf 8","200","80","active"
"5","3","B4-3-1","Sensors zone - Row B, Shelf 4","150","60","active"
"6","2","A6-2-5","Cameras section - Row A, Shelf 6","80","35","active"
"7","1","C2-5-2","General storage - Row C, Shelf 2","120","50","active"
"8","2","A1-5-3","Security systems - Row A, Shelf 1","90","40","active"
"9","3","B6-1-1","Network equipment - Row B, Shelf 6","60","25","active"
"10","1","C1-4-2","Spare parts - Row C, Shelf 1","100","30","active"
"11","2","B8-4-2","IoT devices - Row B, Shelf 8","85","35","active"
"12","1","A4-4-2","Lighting controls - Row A, Shelf 4","70","25","active"
"13","3","B6-5-2","Smart locks - Row B, Shelf 6","65","28","active"
"14","1","B9-1-2","Automation parts - Row B, Shelf 9","95","40","active"
"15","2","B2-5-5","Voice assistants - Row B, Shelf 2","55","22","active"
"16","2","A6-4-4","Thermostats - Row A, Shelf 6","75","30","active"
"17","2","C10-5-3","Warranty returns - Row C, Shelf 10","40","15","active"
"18","2","A4-4-2","Display models - Row A, Shelf 4","30","12","active"
"19","1","C5-4-4","Backup storage - Row C, Shelf 5","110","45","active"
"20","2","A10-3-5","Demo units - Row A, Shelf 10","45","18","active"
"21","1","A2-3-1","Main inventory - Row A, Shelf 2","130","55","active"
"22","3","B7-5-5","Refurbished section - Row B, Shelf 7","50","20","active"
"23","2","B10-2-1","Replacement parts - Row B, Shelf 10","85","35","active"
"24","1","A5-3-2","Premium products - Row A, Shelf 5","60","25","active"
"25","1","A9-1-3","Standard items - Row A, Shelf 9","100","42","active"
"26","3","A4-3-1","Service parts - Row A, Shelf 4","70","28","active"
"27","2","A4-4-3","Refurbished cameras - Row A, Shelf 4","40","15","active"
"28","1","C2-5-3","Bulk storage - Row C, Shelf 2","150","60","active"
"29","3","A10-4-3","Component storage - Row A, Shelf 10","80","32","active"
"30","2","C4-4-1","Returned goods - Row C, Shelf 4","35","14","active"
